step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
100,5.0001,-0.367,1177.600,0.000,-0.053,-42.132,0.000,42.132,0.053,398484.8,398.48,38906.00,13306.00,1.045,0.028,0.003,0.035,0.007,-0.030,0.367,Hybrid
101,5.0501,-0.370,1175.494,0.000,-0.053,-42.101,0.000,42.101,0.053,398172.4,398.17,38899.47,13299.47,1.044,0.028,0.002,0.031,-0.008,-0.029,0.370,Hybrid
102,5.1001,-0.373,1173.389,0.000,-0.054,-42.071,0.000,42.071,0.054,397863.6,397.86,38892.95,13292.94,1.044,0.028,0.001,0.027,-0.008,-0.028,0.373,Hybrid
103,5.1501,-0.375,1171.287,0.000,-0.054,-42.041,0.000,42.041,0.054,397558.4,397.56,38886.42,13286.42,1.043,0.028,0.000,0.024,-0.008,-0.027,0.375,Hybrid
104,5.2001,-0.378,1169.185,0.000,-0.055,-42.012,0.000,42.012,0.055,397258.8,397.26,38879.91,13279.91,1.042,0.034,-0.001,0.021,-0.009,-0.028,0.378,Hybrid
105,5.2501,-0.381,1167.085,0.000,-0.055,-41.982,0.000,41.982,0.055,396960.5,396.96,38873.40,13273.40,1.042,0.034,-0.002,0.017,-0.009,-0.027,0.381,Hybrid
106,5.3001,-0.384,1164.987,0.000,-0.056,-41.953,0.000,41.953,0.056,396665.6,396.67,38866.89,13266.89,1.041,0.034,-0.003,0.014,-0.009,-0.026,0.384,Hybrid
107,5.3501,-0.386,1162.890,0.000,-0.056,-41.925,0.000,41.925,0.056,396374.0,396.37,38860.39,13260.39,1.040,0.034,-0.002,0.011,0.010,-0.026,0.386,Hybrid
108,5.4001,-0.389,1160.795,0.000,-0.057,-41.896,0.000,41.896,0.057,396085.8,396.09,38853.90,13253.90,1.040,0.034,-0.001,0.008,0.010,-0.025,0.389,Hybrid
109,5.4501,-0.392,1158.701,0.000,-0.057,-41.868,0.000,41.868,0.057,395800.8,395.80,38847.40,13247.40,1.039,0.034,0.000,0.006,0.009,-0.024,0.392,Hybrid
110,5.5001,-0.395,1156.608,0.000,-0.058,-41.840,0.000,41.840,0.058,395519.0,395.52,38840.92,13240.92,1.039,0.034,0.001,0.003,0.009,-0.023,0.395,Hybrid
111,5.5501,-0.398,1154.516,0.000,-0.058,-41.813,0.000,41.813,0.058,395240.3,395.24,38834.43,13234.43,1.038,0.034,0.002,0.001,0.009,-0.022,0.398,Hybrid
112,5.6001,-0.401,1152.427,0.000,-0.059,-41.786,0.000,41.786,0.059,394964.8,394.96,38827.96,13227.96,1.038,0.034,0.002,-0.001,-0.010,-0.022,0.401,Hybrid
113,5.6501,-0.404,1150.338,0.000,-0.059,-41.759,0.000,41.759,0.059,394692.5,394.69,38821.48,13221.49,1.037,0.034,0.001,-0.003,-0.010,-0.022,0.404,Hybrid
114,5.7001,-0.407,1148.251,0.000,-0.060,-41.732,0.000,41.732,0.060,394423.1,394.42,38815.02,13215.02,1.037,0.034,0.000,-0.006,-0.009,-0.021,0.407,Hybrid
115,5.7501,-0.410,1146.165,0.000,-0.060,-41.706,0.000,41.706,0.060,394156.7,394.16,38808.55,13208.55,1.036,0.034,-0.001,-0.008,-0.009,-0.021,0.410,Hybrid
116,5.8001,-0.413,1144.080,0.000,-0.061,-41.679,0.000,41.679,0.061,393893.3,393.89,38802.09,13202.09,1.036,0.034,-0.002,-0.009,-0.009,-0.021,0.413,Hybrid
117,5.8501,-0.416,1141.997,0.000,-0.061,-41.653,0.000,41.653,0.061,393632.7,393.63,38795.64,13195.64,1.035,0.034,-0.002,-0.011,0.010,-0.020,0.416,Hybrid
118,5.9001,-0.419,1139.915,0.000,-0.062,-41.628,0.000,41.628,0.062,393375.0,393.38,38789.19,13189.19,1.035,0.034,-0.001,-0.013,0.010,-0.020,0.419,Hybrid
119,5.9501,-0.422,1137.834,0.000,-0.062,-41.602,0.000,41.602,0.062,393120.2,393.12,38782.74,13182.74,1.034,0.034,0.000,-0.015,0.009,-0.019,0.422,Hybrid
120,6.0001,-0.425,1135.755,0.000,-0.063,-41.577,0.000,41.577,0.063,392868.0,392.87,38776.30,13176.30,1.034,0.034,0.001,-0.016,0.009,-0.019,0.425,Hybrid
