step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
116,5.8001,15.724,2030.337,10.819,1.668,-65.355,1.976,65.406,2.586,554640.6,554.64,38583.07,12983.07,1.467,3.460,-4.530,-19.737,3.068,-14.511,19.087,Fuzzy
117,5.8501,15.801,2027.074,10.917,1.410,-65.157,1.938,65.201,2.397,554054.0,554.05,38573.98,12973.98,1.466,2.342,-3.322,-27.850,2.464,-21.383,19.206,Fuzzy
118,5.9001,15.864,2023.821,11.013,1.098,-64.982,1.907,65.019,2.201,553574.5,553.57,38564.91,12964.90,1.465,1.042,-2.448,-38.592,1.738,-25.504,19.312,Fuzzy
119,5.9501,15.919,2020.576,11.108,1.226,-64.811,1.877,64.850,2.242,553116.8,553.12,38555.83,12955.83,1.464,1.710,-1.788,-33.979,1.617,24.956,19.411,Fuzzy
120,6.0001,15.988,2017.340,11.201,1.525,-64.632,1.843,64.676,2.393,552628.0,552.63,38546.77,12946.77,1.463,2.993,-1.094,-23.776,1.595,19.446,19.521,Fuzzy
121,6.0501,16.070,2014.113,11.292,1.757,-64.426,1.810,64.475,2.523,552019.1,552.02,38537.71,12937.71,1.462,3.935,-0.445,-16.664,1.342,12.900,19.641,Fuzzy
122,6.1001,16.163,2010.897,11.382,1.935,-64.205,1.780,64.259,2.629,551333.6,551.33,38528.67,12928.67,1.460,4.608,0.098,-11.924,1.192,8.487,19.768,Fuzzy
123,6.1501,16.263,2007.693,11.470,2.079,-63.977,1.745,64.035,2.714,550611.4,550.61,38519.64,12919.64,1.459,5.093,0.823,-8.719,1.943,5.971,19.901,Fuzzy
124,6.2001,16.370,2004.500,11.556,2.205,-63.747,1.701,63.808,2.785,549875.5,549.88,38510.62,12910.62,1.457,5.440,1.904,-6.374,2.735,4.502,20.038,Fuzzy
125,6.2501,16.484,2001.318,11.640,2.323,-63.517,1.649,63.581,2.849,549135.1,549.14,38501.61,12901.61,1.455,5.679,3.331,-4.483,3.472,3.953,20.179,Fuzzy
126,6.3001,16.603,1998.148,11.721,2.438,-63.288,1.590,63.355,2.911,548395.8,548.40,38492.62,12892.62,1.454,5.825,5.061,-2.790,4.089,3.478,20.323,Fuzzy
127,6.3501,16.727,1994.990,11.799,2.548,-63.059,1.527,63.129,2.971,547655.1,547.66,38483.63,12883.63,1.452,5.896,7.074,-1.360,4.943,2.840,20.470,Fuzzy
128,6.4001,16.857,1991.842,11.873,2.650,-62.832,1.451,62.904,3.021,546915.1,546.92,38474.66,12874.66,1.450,5.921,9.730,-0.254,6.794,2.108,20.619,Fuzzy
129,6.4501,16.992,1988.706,11.948,2.747,-62.605,1.528,62.684,3.143,546174.5,546.17,38465.70,12865.70,1.449,5.926,6.968,0.659,-5.198,2.263,20.772,Fuzzy
130,6.5001,17.132,1985.582,12.026,2.852,-62.378,1.590,62.464,3.265,545432.1,545.43,38456.75,12856.75,1.447,5.891,4.907,1.858,-4.193,2.968,20.932,Fuzzy
131,6.5501,17.277,1982.468,12.107,2.964,-62.153,1.647,62.246,3.391,544693.1,544.69,38447.82,12847.82,1.446,5.788,3.144,3.349,-3.598,3.561,21.097,Fuzzy
132,6.6001,17.429,1979.366,12.191,3.079,-61.929,1.697,62.029,3.516,543955.8,543.96,38438.89,12838.89,1.444,5.598,1.691,5.063,-2.865,3.989,21.269,Fuzzy
133,6.6501,17.585,1976.276,12.276,3.197,-61.706,1.739,61.813,3.639,543218.3,543.22,38429.98,12829.98,1.442,5.310,0.596,6.958,-2.054,4.574,21.447,Fuzzy
134,6.7001,17.748,1973.196,12.364,3.323,-61.484,1.772,61.600,3.766,542485.1,542.49,38421.08,12821.08,1.441,4.911,-0.140,9.329,-1.406,5.969,21.631,Fuzzy
135,6.7501,17.918,1970.127,12.454,3.465,-61.267,1.803,61.392,3.906,541765.8,541.77,38412.20,12812.20,1.439,4.371,-0.838,12.514,-1.671,8.266,21.821,Fuzzy
136,6.8001,18.095,1967.069,12.545,3.638,-61.058,1.836,61.194,4.075,541077.7,541.08,38403.32,12803.32,1.438,3.636,-1.639,17.119,-1.955,12.246,22.018,Fuzzy
137,6.8501,18.283,1964.021,12.637,3.857,-60.863,1.871,61.014,4.287,540449.0,540.45,38394.46,12794.46,1.436,2.624,-2.545,23.833,-2.179,17.909,22.225,Fuzzy
138,6.9001,18.482,1960.982,12.732,4.139,-60.694,1.903,60.864,4.556,539926.6,539.93,38385.60,12785.60,1.435,1.273,-3.449,33.367,-2.123,24.277,22.443,Fuzzy
