step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
72,3.6000,-0.385,1418.745,0.000,-0.069,-47.349,0.000,47.349,0.069,414491.3,414.49,39057.28,13457.28,1.083,0.337,-0.001,-0.063,-0.106,-0.335,0.385,Hybrid
73,3.6500,-0.388,1416.379,0.000,-0.075,-47.298,0.001,47.298,0.075,413725.4,413.73,39050.49,13450.49,1.081,0.333,-0.012,-0.105,0.110,-0.329,0.388,Hybrid
74,3.7000,-0.392,1414.015,0.000,-0.081,-47.248,0.000,47.248,0.081,412972.7,412.97,39043.71,13443.71,1.079,0.326,0.002,-0.146,0.103,-0.320,0.392,Hybrid
75,3.7500,-0.396,1411.654,0.000,-0.087,-47.199,-0.001,47.200,0.087,412232.7,412.23,39036.95,13436.95,1.077,0.318,0.010,-0.185,-0.105,-0.310,0.396,Hybrid
76,3.8000,-0.401,1409.295,0.000,-0.093,-47.151,0.000,47.151,0.093,411505.3,411.51,39030.20,13430.20,1.076,0.308,-0.003,-0.222,-0.097,-0.297,0.401,Hybrid
77,3.8500,-0.405,1406.939,0.000,-0.098,-47.104,0.001,47.104,0.098,410790.5,410.79,39023.46,13423.46,1.074,0.295,-0.008,-0.258,0.097,-0.283,0.405,Hybrid
78,3.9000,-0.411,1404.585,0.000,-0.103,-47.058,0.000,47.058,0.103,410087.7,410.09,39016.73,13416.73,1.072,0.282,0.004,-0.290,0.090,-0.268,0.411,Hybrid
79,3.9500,-0.416,1402.233,0.000,-0.108,-47.012,-0.001,47.012,0.108,409396.8,409.40,39010.02,13410.01,1.071,0.266,0.008,-0.321,-0.088,-0.250,0.416,Hybrid
80,4.0000,-0.421,1399.883,0.000,-0.113,-46.967,0.000,46.968,0.113,408717.7,408.72,39003.31,13403.31,1.069,0.249,-0.002,-0.349,-0.080,-0.232,0.421,Hybrid
81,4.0500,-0.427,1397.536,0.000,-0.117,-46.923,0.001,46.924,0.117,408050.3,408.05,38996.61,13396.61,1.067,0.232,-0.010,-0.374,0.078,-0.212,0.427,Hybrid
82,4.1000,-0.433,1395.191,0.000,-0.121,-46.880,0.000,46.880,0.121,407394.0,407.39,38989.93,13389.93,1.066,0.212,-0.001,-0.396,0.069,-0.191,0.433,Hybrid
83,4.1500,-0.439,1392.848,0.000,-0.124,-46.838,-0.001,46.838,0.124,406748.9,406.75,38983.26,13383.26,1.064,0.192,0.007,-0.415,0.062,-0.169,0.439,Hybrid
84,4.2000,-0.445,1390.507,0.000,-0.127,-46.796,0.000,46.796,0.127,406115.0,406.12,38976.59,13376.59,1.063,0.170,0.006,-0.431,-0.058,-0.147,0.445,Hybrid
85,4.2501,-0.452,1388.168,0.000,-0.130,-46.755,0.000,46.755,0.130,405491.8,405.49,38969.94,13369.94,1.062,0.148,-0.001,-0.444,-0.049,-0.124,0.452,Hybrid
86,4.3001,-0.458,1385.831,0.000,-0.132,-46.715,0.000,46.715,0.132,404879.3,404.88,38963.30,13363.30,1.060,0.125,-0.007,-0.454,-0.041,-0.101,0.458,Hybrid
87,4.3501,-0.465,1383.497,0.000,-0.134,-46.675,0.000,46.675,0.134,404277.0,404.28,38956.67,13356.67,1.059,0.103,-0.007,-0.461,0.037,-0.077,0.465,Hybrid
88,4.4001,-0.472,1381.164,0.000,-0.135,-46.636,0.000,46.637,0.135,403685.3,403.69,38950.05,13350.05,1.057,0.079,-0.002,-0.465,0.028,-0.053,0.472,Hybrid
